idx,RSI
814,49.94
815,35.9
816,54.29
817,51.47
818,55.42
819,49.75
820,55.58
821,69.51
822,73.0
823,63.11
824,51.57
825,55.12
826,52.47
827,62.73
828,74.05
829,65.34
830,56.21
831,57.12
832,56.09
833,65.79
834,58.97
835,66.48
836,53.5
837,55.26
838,59.38
839,65.97
840,62.62
841,68.11
842,65.5
843,64.94
844,61.15
845,62.98
846,43.18
847,44.84
848,52.01
849,49.1
850,36.83
851,58.39
852,62.34
853,49.84
854,62.06
855,85.33
856,86.24
857,88.06
858,86.59
859,86.9
860,68.81
861,72.14
862,87.02
863,83.83
864,70.17
865,77.48
866,73.34
867,69.87
868,58.02
869,66.56
870,51.26
871,44.16
872,37.03
873,47.28
874,22.01
875,21.34
876,29.45
877,46.96
878,40.02
879,60.69
880,58.81
881,61.84
882,46.76
883,59.93
884,63.48
885,56.25
886,46.21
887,48.4
888,47.61
889,40.75
890,50.17
891,63.32
892,49.4
893,57.6
894,60.17
895,57.8
896,61.23
897,54.07
898,55.21
899,52.65
900,37.54
901,45.6
902,33.18
903,42.7
904,51.34
905,59.67
906,53.31
907,64.7
908,63.26
909,91.54
910,91.37
911,83.02
912,81.26
913,65.64
914,51.06
915,60.0
916,53.73
917,57.71
918,50.58
919,62.33
920,71.57
921,71.07
922,69.34
923,79.78
924,66.43
925,57.38
926,57.3
927,55.01
928,42.11
929,49.9
930,46.14
931,63.52
932,55.76
933,52.62
934,65.81
935,47.16
936,40.52
937,40.03
938,35.14
939,31.03
940,38.04
941,40.16
942,52.39
943,51.25
944,67.24
945,73.66
946,79.37
947,76.15
948,94.69
949,92.77
950,90.09
951,84.28
952,67.26
953,66.95
954,65.76
955,41.31
956,43.59
957,28.4
958,24.29
959,44.82
960,48.42
961,56.67
962,52.61
963,61.77
964,85.26
965,80.16
966,89.24
967,77.16
968,51.45
969,43.37
970,58.28
971,54.95
972,38.31
973,34.85
974,29.97
975,34.03
976,32.54
977,37.22
978,50.83
979,41.62
980,44.29
981,51.55
982,68.69
983,74.82
984,72.0
985,88.71
986,75.38
987,74.46
988,66.96
989,65.59
990,70.91
991,65.66
992,69.63
993,74.73
994,72.51
995,87.72
996,85.69
997,95.42
998,95.78
999,86.41
1000,85.91
1001,92.78
1002,85.38
1003,85.83
1004,71.75
1005,77.92
1006,73.79
1007,71.93
1008,81.54
1009,61.78
1010,53.74
1011,50.21
1012,57.21
1013,62.92
1014,56.01
1015,49.07
1016,57.61
1017,52.75
1018,61.4
1019,68.49
1020,64.68
1021,44.64
1022,46.79
1023,41.41
1024,47.52
1025,38.27
1026,35.86
1027,42.85
1028,38.41
1029,46.08
1030,75.36
1031,80.84
1032,76.4
1033,64.45
1034,69.92
1035,68.82
1036,66.36
1037,52.79
1038,53.32
1039,44.94
1040,32.12
1041,34.11
1042,42.58
1043,43.94
1044,38.4
1045,39.51
1046,44.84
1047,47.65
1048,44.27
1049,29.85
1050,21.54
1051,15.61
1052,17.78
1053,16.55
1054,24.8
1055,34.38
1056,33.67
1057,32.16
1058,30.59
1059,36.3
1060,44.26
1061,48.6
1062,58.79
1063,60.97
1064,56.81
1065,55.02
1066,67.85
