idx,RSI
1031,46.24
1032,38.83
1033,33.2
1034,27.52
1035,23.81
1036,27.46
1037,28.72
1038,34.11
1039,27.35
1040,27.97
1041,42.78
1042,51.33
1043,51.33
1044,77.22
1045,72.61
1046,66.91
1047,50.0
1048,48.3
1049,54.95
1050,54.04
1051,61.43
1052,67.89
1053,44.68
1054,43.08
1055,37.67
1056,45.9
1057,55.66
1058,48.35
1059,38.39
1060,41.18
1061,40.81
1062,45.05
1063,53.81
1064,69.41
1065,62.55
1066,52.44
1067,46.77
1068,47.96
1069,42.37
1070,39.27
1071,36.59
1072,31.22
1073,12.89
1074,17.39
1075,15.96
1076,20.34
1077,26.69
1078,19.58
1079,22.33
1080,61.64
1081,51.28
1082,44.86
1083,47.52
1084,63.49
1085,61.67
1086,69.33
1087,56.98
1088,54.26
1089,46.58
1090,39.06
1091,32.89
1092,23.99
1093,20.16
1094,25.9
1095,14.87
1096,35.5
1097,33.54
1098,34.15
1099,36.6
1100,44.44
1101,49.12
1102,54.33
1103,50.64
1104,60.09
1105,51.56
1106,65.06
1107,61.07
1108,75.56
1109,68.0
1110,85.93
1111,77.59
1112,81.94
1113,81.16
1114,80.88
1115,84.15
1116,85.87
1117,86.02
1118,96.2
1119,95.95
1120,97.65
1121,97.48
1122,97.33
1123,86.96
1124,85.71
1125,86.26
1126,62.5
1127,54.25
1128,46.24
1129,45.45
1130,43.2
1131,35.26
1132,42.63
1133,32.18
1134,20.81
1135,37.7
1136,55.68
1137,58.05
1138,63.96
1139,57.56
1140,52.29
1141,38.59
1142,38.14
1143,44.27
1144,37.22
1145,19.65
1146,21.02
1147,28.32
1148,27.22
1149,40.0
1150,68.13
1151,76.14
1152,74.46
1153,80.33
1154,90.5
1155,93.5
1156,87.43
1157,95.15
1158,95.28
1159,90.2
1160,88.81
1161,80.88
1162,80.3
1163,78.15
1164,80.15
1165,69.54
1166,62.3
1167,65.41
1168,69.63
1169,54.37
1170,52.1
1171,45.25
1172,44.32
1173,33.15
1174,38.96
1175,35.1
1176,34.67
1177,23.81
1178,29.11
1179,31.08
1180,35.38
1181,26.32
1182,30.93
1183,25.21
1184,28.57
1185,7.07
1186,38.67
1187,33.73
1188,54.37
1189,49.56
1190,46.55
1191,63.64
1192,75.97
1193,75.4
1194,82.73
1195,80.8
1196,82.11
1197,55.3
1198,55.73
1199,61.27
1200,53.1
1201,45.11
1202,35.33
1203,28.95
1204,32.5
1205,35.67
1206,42.75
1207,45.16
1208,55.89
1209,57.5
1210,67.79
1211,70.63
1212,53.04
1213,39.8
1214,38.0
1215,36.89
1216,34.23
1217,15.98
1218,13.21
1219,20.35
1220,27.57
1221,31.22
1222,57.47
1223,51.21
1224,58.4
1225,68.95
1226,74.9
1227,70.49
1228,51.8
1229,51.62
1230,62.7
1231,51.84
1232,66.54
1233,68.9
1234,64.08
1235,68.7
1236,72.05
1237,98.82
1238,98.98
1239,98.66
1240,100.0
1241,88.39
1242,85.71
1243,90.0
1244,87.88
1245,88.73
1246,89.26
1247,86.67
1248,83.9
1249,85.27
1250,78.57
1251,63.45
1252,41.44
1253,62.65
1254,61.49
1255,51.74
1256,52.3
1257,50.84
1258,41.03
1259,50.81
1260,60.92
1261,68.0
1262,47.66
1263,41.53
1264,49.56
1265,30.47
1266,32.5
1267,47.06
1268,55.37
1269,50.0
1270,32.31
1271,33.87
1272,28.38
1273,25.59
1274,56.99
1275,64.38
1276,65.98
1277,68.2
1278,69.96
1279,80.48
1280,83.58
1281,87.5
1282,91.06
1283,88.11
1284,72.78
1285,52.28
1286,44.38
1287,23.66
1288,21.88
1289,18.03
1290,18.41
1291,25.5
1292,35.96
1293,39.63
1294,46.52
1295,43.06
1296,51.96
1297,40.55
1298,38.86
1299,37.96
1300,39.64
1301,19.32
1302,24.09
1303,22.18
1304,27.63
1305,45.58
1306,63.73
1307,53.39
1308,56.76
1309,43.67
1310,58.8
1311,53.98
1312,64.19
1313,63.68
1314,47.79
1315,51.04
1316,60.58
1317,53.39
1318,56.0
1319,43.2
1320,45.5
1321,32.47
1322,28.77
1323,40.1
1324,44.17
1325,48.2
1326,48.2
1327,53.35
1328,67.31
1329,59.26
1330,72.52
1331,70.68
1332,70.68
1333,58.96
1334,46.83
1335,72.53
1336,74.11
1337,60.14
1338,77.59
1339,80.0
1340,84.29
1341,84.38
1342,71.06
1343,73.92
1344,50.16
1345,45.87
1346,53.55
1347,42.54
1348,53.74
1349,48.61
1350,42.89
1351,39.85
1352,43.03
1353,46.63
1354,45.77
1355,50.96
1356,50.24
1357,25.33
1358,25.33
1359,25.07
1360,44.85
1361,49.36
1362,53.68
1363,56.21
1364,35.58
1365,29.4
1366,28.09
1367,23.84
1368,23.2
1369,9.3
1370,1.17
1371,7.97
1372,6.71
1373,6.71
1374,21.29
1375,36.79
1376,40.44
1377,41.67
1378,38.0
1379,46.02
1380,53.97
1381,58.9
1382,55.16
1383,47.75
1384,35.73
1385,32.4
1386,31.66
1387,33.91
1388,25.76
1389,10.94
1390,37.97
1391,44.55
1392,45.34
1393,53.02
1394,62.54
1395,57.97
1396,67.37
1397,72.53
1398,56.31
1399,41.13
1400,63.21
1401,58.77
1402,60.16
1403,43.09
1404,47.23
1405,44.41
