idx,RSI
1054,28.08
1055,34.62
1056,32.84
1057,31.93
1058,29.7
1059,34.41
1060,40.53
1061,43.35
1062,52.53
1063,57.46
1064,52.31
1065,52.79
1066,67.73
1067,89.74
1068,93.09
1069,93.39
1070,78.36
1071,78.24
1072,74.28
1073,52.1
1074,51.67
1075,46.87
1076,42.71
1077,32.36
1078,23.71
1079,35.16
1080,50.44
1081,46.45
1082,55.63
1083,58.97
1084,45.44
1085,35.85
1086,31.85
1087,49.54
1088,46.62
1089,32.76
1090,27.91
1091,23.86
1092,17.91
1093,31.3
1094,37.3
1095,40.9
1096,28.29
1097,20.32
1098,26.94
1099,29.05
1100,39.58
1101,58.38
1102,49.94
1103,66.51
1104,68.95
1105,73.51
1106,92.14
1107,90.67
1108,98.4
1109,80.26
1110,80.89
1111,85.77
1112,80.97
1113,64.64
1114,63.86
1115,53.53
1116,57.55
1117,56.18
1118,62.33
1119,60.5
1120,39.09
1121,42.03
1122,63.39
1123,54.56
1124,61.18
1125,51.9
1126,53.61
1127,61.08
1128,43.74
1129,44.81
1130,32.66
1131,21.38
1132,18.93
1133,27.59
1134,30.49
1135,27.42
1136,17.85
1137,21.14
1138,20.23
1139,25.78
1140,37.04
1141,32.22
1142,31.03
1143,22.5
1144,20.43
1145,36.04
1146,39.83
1147,49.13
1148,50.73
1149,48.07
1150,56.43
1151,52.07
1152,44.57
1153,34.59
1154,23.42
1155,38.12
1156,31.66
1157,25.46
1158,22.16
1159,37.7
1160,39.93
1161,59.09
1162,70.42
1163,72.81
1164,63.53
1165,67.36
1166,87.97
1167,87.65
1168,84.13
1169,68.2
1170,61.47
1171,69.7
1172,73.46
1173,70.15
1174,74.28
1175,61.79
1176,63.3
1177,65.29
1178,78.93
1179,77.68
1180,64.52
1181,56.4
1182,68.24
1183,51.14
1184,65.64
1185,45.64
1186,35.84
1187,35.66
1188,28.93
1189,41.03
1190,42.63
1191,37.12
1192,57.18
1193,54.78
1194,72.58
1195,84.6
1196,67.6
1197,65.45
1198,62.8
1199,56.55
1200,49.25
1201,24.44
1202,26.1
1203,33.38
1204,20.04
1205,24.92
1206,33.74
1207,24.7
1208,25.43
1209,47.97
1210,66.48
1211,64.98
1212,63.23
1213,76.92
1214,76.75
1215,80.55
1216,98.61
1217,100.0
1218,97.73
1219,95.12
1220,92.24
1221,93.45
1222,94.58
1223,94.02
1224,78.66
1225,72.89
1226,71.0
1227,55.11
1228,61.08
1229,61.99
1230,57.84
1231,48.23
1232,44.39
1233,48.13
1234,58.71
1235,56.33
1236,75.3
1237,68.49
1238,50.14
1239,51.07
1240,56.04
1241,59.12
1242,71.57
1243,63.41
1244,66.7
1245,62.61
1246,53.54
1247,70.39
1248,73.5
1249,72.17
1250,74.5
1251,57.86
1252,61.65
1253,59.34
1254,63.27
1255,78.06
1256,59.07
1257,30.32
1258,20.91
1259,26.82
1260,28.94
1261,20.82
1262,17.65
1263,25.0
1264,21.42
1265,34.74
1266,57.21
1267,50.72
1268,40.7
1269,37.44
1270,31.84
1271,39.64
1272,40.45
1273,47.64
1274,38.59
1275,36.9
1276,54.52
1277,68.72
1278,75.46
1279,87.58
1280,84.05
1281,82.2
1282,66.25
1283,73.11
1284,72.3
1285,67.96
1286,68.1
1287,73.4
1288,47.16
1289,49.84
1290,33.95
1291,48.87
1292,52.79
1293,55.05
1294,48.11
1295,50.21
1296,49.81
1297,58.0
1298,64.34
1299,85.88
1300,75.3
1301,55.71
1302,47.91
1303,46.62
1304,46.56
1305,39.86
1306,34.01
1307,23.65
1308,19.22
1309,19.22
1310,19.34
1311,17.3
1312,20.2
1313,13.17
1314,13.22
1315,43.39
1316,40.2
1317,35.11
1318,42.84
1319,60.36
1320,61.88
1321,68.08
1322,55.61
1323,65.04
1324,57.35
1325,43.97
1326,41.01
1327,28.15
1328,26.31
1329,30.16
1330,19.2
1331,39.33
1332,36.46
1333,38.42
1334,39.75
1335,47.16
1336,50.32
1337,55.23
1338,54.58
1339,63.42
1340,59.79
1341,63.6
1342,56.94
1343,71.13
1344,56.84
1345,71.89
1346,52.03
1347,43.44
1348,53.12
1349,48.6
1350,58.64
1351,62.47
1352,57.11
1353,71.14
1354,68.92
1355,78.92
1356,89.4
1357,86.92
1358,70.12
1359,69.4
1360,66.73
1361,57.33
1362,54.26
1363,53.72
1364,55.62
1365,54.13
1366,49.2
1367,62.53
1368,52.86
1369,53.8
1370,78.45
1371,81.61
1372,80.02
1373,80.27
1374,75.6
1375,53.68
1376,39.01
1377,33.42
1378,44.79
1379,37.77
1380,23.26
1381,28.42
1382,42.6
1383,36.08
1384,47.53
1385,66.2
1386,70.73
1387,66.86
1388,69.35
1389,81.82
1390,81.24
1391,66.2
1392,85.85
1393,86.66
1394,66.84
1395,66.13
1396,57.41
1397,58.36
1398,60.4
1399,64.36
1400,61.3
1401,55.92
1402,58.32
1403,69.4
1404,52.23
1405,47.57
1406,42.68
1407,45.29
1408,36.19
1409,53.49
1410,45.74
1411,40.31
1412,30.68
1413,36.59
1414,42.6
1415,46.39
1416,38.29
1417,36.61
1418,16.72
1419,26.14
1420,15.38
1421,39.68
1422,34.09
1423,51.37
1424,51.94
1425,46.29
1426,62.9
1427,73.82
1428,66.61
1429,80.0
1430,76.0
1431,69.03
1432,56.57
1433,55.98
1434,67.17
1435,47.6
1436,36.62
1437,32.85
1438,26.52
1439,27.81
1440,33.76
1441,36.91
1442,37.84
1443,38.68
1444,47.2
1445,58.41
1446,56.48
1447,30.44
1448,26.59
1449,32.03
1450,27.68
1451,25.25
1452,9.07
1453,7.25
1454,20.67
1455,29.59
1456,32.97
1457,53.22
1458,38.67
1459,44.7
1460,58.02
1461,60.96
1462,58.04
1463,45.88
1464,53.81
1465,63.65
1466,53.79
1467,71.38
1468,72.46
1469,64.78
1470,68.75
1471,69.69
1472,85.57
1473,82.89
1474,81.03
1475,87.48
1476,70.89
1477,68.1
1478,76.65
1479,78.09
1480,88.02
1481,89.02
1482,87.61
1483,87.3
1484,71.63
1485,78.44
1486,66.36
1487,68.39
1488,65.45
1489,57.13
1490,52.68
1491,41.41
1492,36.76
1493,52.41
1494,53.63
1495,72.64
1496,63.55
1497,59.4
1498,58.23
1499,44.97
1500,53.57
1501,60.47
1502,62.5
1503,61.94
1504,36.25
1505,29.71
1506,28.18
1507,26.43
